Item Code,Item Description,Serial Number,Delivery Number,Shipment Date,Customer Number,Customer Name,Stat Group 1,Stat Group 2
SV-0315,Partial Data Move, KSK8620,SD-2104910,5/18/2021,C005339,Eurest - Medical Mutual Brooklyn,CANTN,EUR
SV-0215,Relocation Fee,KSK2079,SD-2107351,7/16/2021,C002268,Sodexo-Sanofi-Swiftwater,INDEP,OTR
SV-0215,Relocation Fee,KSK2123,SD-2210683,7/28/2022,C002164,Sodexo-Commercial Metals-TX,SODEX,OTR
SV-0217,Relocation Fee - Indep Excl ,KSK2124,SD-2009728,11/6/2020,C002285,Sodexo-Tesoro,INDEP,OTR
SV-0216,Relocation Fee - CFG ,KSK2166,SD-2213260,9/9/2022,C003665,Eurest-American Family Insur,CANTN,EUR
SV-0215,Relocation Fee,KSK2229,SD-193417,4/16/2019,C003549,Sodexo-Synchrony-Altamonte,INDEP,OTR
SV-0215,Relocation Fee,KSK2241,SD-180394,9/20/2018,C002240,Sodexo-Novartis Alcon-TX,SODEX,OTR
SV-0369,Inventory Unit Stage - Intl,KSK2241,SD-180389,9/20/2018,C000777,Selecta-IT,INT,OTR
SV-0215,Relocation Fee,KSK2270,SD-2002765,3/12/2020,C001866,Sodexo NSA,SODEX,OTR
SV-0215,Relocation Fee,KSK2271,SD-199571,10/9/2019,C003596,Sodexo-Sanofi-MA-Bioverativ,SODEX,OTR
SV-0215,Relocation Fee,KSK2312,SD-193713,4/25/2019,C002249,Sodexo-Principal ABP-Des Moines,INDEP,OTR
SV-0369,Inventory Unit Stage - Intl,KSK400001,SD-181521,11/5/2018,C001353,Selecta-CH,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500016,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500027,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500026,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500013,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500025,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500021,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500015,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500017,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500029,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500019,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
BG-0102,Gen 3 Kiosk - UK/Italy,KSK500018,365001810SDI00000011,10/12/2018,36510,UK Site,INT,OTR
