SerialNumber,WentLiveOn
FREEDOMSHOPPING,8/27/2008
VSH002309_OLD,2/3/2009
VSH002508,11/19/2009
V000035,8/13/2010
VSH000035,8/13/2010
VSH109007,12/14/2010
VSH109009-OLD,12/28/2010
VSH109006_OLD,12/28/2010
VSH109011,1/14/2011
VSH109002,1/14/2011
VSH109014,3/14/2011
VSH109020_OLD,4/4/2011
VSH109018,4/22/2011
VSH109020,4/28/2011
VSH000027,5/2/2011
V1000014,5/2/2011
VSH002717,5/2/2011
VSH002611,5/2/2011
VSH000029,5/2/2011
VSH001321,5/2/2011
VSH001218,5/2/2011
VSH001308,5/2/2011
VSH001821,5/3/2011
VSH109023,5/14/2011
VSH209769_OLD1,6/6/2011
VSH109031_OLD,6/13/2011
VSH109033,6/29/2011
VSH109032,7/8/2011
VSH109030,7/15/2011
VSH109035,7/26/2011
VSHXXXXXXOLD,9/20/2011
VSH109047,9/26/2011
VSH109050_OLD,10/3/2011
VSH109044,10/10/2011
VSH109051_OLD,10/10/2011
VSH109036_OLD,10/14/2011
VSH109054_OLD,10/17/2011
VSH109046-OLD,10/24/2011
VSH109045,10/25/2011
VSH109034,11/8/2011
VSH109055,11/10/2011
VSH209986_OLD2,11/15/2011
VSH109064,11/21/2011
VSH109048,11/28/2011
VSH109063,11/30/2011
VSH109067_OLD,12/5/2011
VSH109062,12/7/2011
VSH109068_OLD,12/12/2011
VSH109069,12/13/2011
VSH109059_OLD,12/15/2011
VSH209932,1/1/2012
VSH209602,1/31/2012
VSH109076,2/1/2012
VSH109082,2/6/2012
VSH109092,2/9/2012
VSH109084,2/20/2012
VSH109963OLD,2/22/2012
VSH109101,2/23/2012
VSH109078,2/28/2012
VSH109086,3/2/2012
VSH314153,3/6/2012
VSH109095_REL,3/7/2012
VSH109097,3/7/2012
VSH209388,3/10/2012
VSH109072_OLD,3/13/2012
VSH109109_REL,3/20/2012
VSH109096_REL,3/21/2012
VSH109080,3/26/2012
VSH109079_OLD,3/26/2012
VSH109110_REL,3/29/2012
VSH109094TBD,3/29/2012
VSH250017,4/4/2012
VSH209004,4/5/2012
VSH109087,4/5/2012
VSH314084_OLD,4/11/2012
VSH109120_OLD,4/12/2012
VSH109122,4/16/2012
VSH209010_OLD,4/17/2012
VSH209009_OLD,4/17/2012
VSH109056,4/17/2012
VSH109108_OLD,4/18/2012
VSH317081,4/18/2012
VSH109104,4/24/2012
VSH209011,4/24/2012
VSH209991_REL,4/30/2012
VSH109432,5/14/2012
VSH209017_TAP,5/15/2012
VSH109140,5/16/2012
VSH109105,5/17/2012
VSH209003,5/21/2012
VSH109125OLD,5/24/2012
VSH209006_OLD1,5/29/2012
VSH109128_REL,5/31/2012
VSH209697,6/5/2012
VSH209021,6/7/2012
VSH209024,6/11/2012
VSH209012,6/12/2012
VSH109124,6/13/2012
VSH209035_OLD,6/18/2012
VSH209061,6/18/2012
VSH210229_TAP,6/18/2012
VSH109132_REL,6/18/2012
VSH209036_OLD,6/19/2012
VSH322964,6/19/2012
VSH109130,6/19/2012
VSH311224_OLD,6/25/2012
VSH209029,7/2/2012
VSH209034_OLD,7/2/2012
VSH314343,7/9/2012
VSH109151,7/9/2012
VSH209059_OLD,7/16/2012
VSH109150N,7/16/2012
VSH209062,7/19/2012
VSH209041,7/25/2012
VSH209101,7/27/2012
VSH319792,7/30/2012
VSH209058,7/30/2012
VSH312091_OLD2,7/30/2012
VSH209106,7/31/2012
VSH209049,7/31/2012
VSH209013OLD,8/1/2012
VSH209094OLD,8/3/2012
VSH209107,8/4/2012
VSH209090,8/6/2012
VSH209089,8/6/2012
VSH209098_OLD,8/6/2012
VSH312988,8/6/2012
VSH209404,8/7/2012
VSH209063,8/9/2012
VSH109150_REL,8/9/2012
VSH209047,8/13/2012
VSH209091_OLD,8/15/2012
VSH209077,8/20/2012
VSH209112,8/23/2012
VSH209104_OLD,9/4/2012
VSH209095,9/5/2012
VSH209123_OLD,9/5/2012
VSH209118,9/6/2012
VSH209105TBD,9/6/2012
VSH209088_OLD,9/10/2012
VSH209124_OLD,9/11/2012
VSH209103_OLD,9/13/2012
VSH209113,9/13/2012
VSH909118_OLD,9/13/2012
VSH209076_OLD,9/13/2012
VSH209133XX,9/15/2012
VSH209187,9/17/2012
VSH209132,9/17/2012
VSH318457,9/17/2012
VSH209082,9/17/2012
VSH209131_OLD,9/18/2012
VSH312769,9/19/2012
VSH209065,9/20/2012
VSH209075,9/21/2012
VSH210340_OLD,9/21/2012
VSH209083OLD,9/21/2012
VSH209060,9/24/2012
VSH209068_OLD,9/24/2012
VSH209134_OLD,9/25/2012
VSH209140_OLD,9/25/2012
VSH209120_OLD,9/25/2012
VSH209073_OLD,9/25/2012
VSH209050_OLD,9/27/2012
VSH209152,9/27/2012
VSH209147_REL,9/28/2012
VSH209151,9/28/2012
VSH320525,9/29/2012
VSH312672,10/1/2012
VSH209074,10/1/2012
VSH209152_OLD,10/1/2012
VSHXXTBD_OLD,10/4/2012
VSH109079,10/4/2012
VSH209038,10/4/2012
VSH209149_OLD,10/5/2012
VSH209150,10/5/2012
VSH209169_OLD,10/8/2012
VSH209078,10/8/2012
VSH209172_REL,10/9/2012
__OLD3,10/9/2012
VSH311203_OLD2,10/10/2012
VSH909053,10/11/2012
VSH209185_OLD,10/16/2012
VSH209126,10/18/2012
VSH209045_REL,10/22/2012
VSH209200_OLD,10/22/2012
VSH209179_OLD,10/22/2012
TBD2,10/22/2012
VSH209180X,10/23/2012
VSH209180,10/23/2012
VSH209093,10/24/2012
VSH209178,10/24/2012
VSH209081,10/24/2012
VSH209144_OLD,10/25/2012
VSH250402,10/25/2012
VSH209173,10/26/2012
VSH209177,10/28/2012
VSH311013,10/29/2012
VSH209018,10/29/2012
VSH209145,10/29/2012
VSH209168,10/29/2012
VSH209130_OLD,10/31/2012
VSH209180X_OLD,11/1/2012
VSH209174_OLD,11/1/2012
VSH209202_OLD,11/1/2012
VSH209204_OLD,11/1/2012
VSH209166_OLD,11/2/2012
VSH109400_OLD1,11/2/2012
VSH209203,11/3/2012
VSH209206_OLD,11/5/2012
VSH209153_OLD,11/5/2012
VSH209201,11/5/2012
VSH208111,11/7/2012
VSH209197,11/9/2012
VSH209235_OLD,11/12/2012
VSH209213,11/12/2012
VSH209155_TAP,11/13/2012
VSH209198_OLD,11/13/2012
VSH209221,11/13/2012
VSH250401,11/13/2012
VSH209096,11/13/2012
VSH209184_OLD,11/15/2012
VSH209323,11/16/2012
VSH209249OLD,11/26/2012
VSH209236,11/27/2012
VSH209176,11/27/2012
VSH209278_OLD,11/28/2012
VSH209260_OLD,11/28/2012
VSH209224,11/28/2012
VSH209129,11/28/2012
VSH209279_OLD,11/29/2012
VSH209211,12/3/2012
VSH209195,12/3/2012
VSH209223_OLD,12/3/2012
VSH209286,12/3/2012
VSH209247_OLD,12/3/2012
VSH209283,12/4/2012
VSH209281,12/4/2012
VSH209282,12/5/2012
VSH209222_OLD,12/5/2012
VSH209240_OLD,12/6/2012
VSH209290,12/9/2012
VSH209259_OLD,12/10/2012
VSH209196,12/10/2012
VSH319141,12/10/2012
VSH209254,12/10/2012
VSH209231_OLD,12/10/2012
VSH209287,12/10/2012
VSH313199,12/11/2012
VSH209207,12/11/2012
VSH109398,12/11/2012
VSH312475,12/12/2012
VSH209298,12/13/2012
VSH209297,12/13/2012
VSH109399,12/14/2012
VSH209291 ,12/15/2012
VSH209319_OLD,12/17/2012
VSH209335_OLD,12/18/2012
VSH109445,12/18/2012
VSH209323_OLD,12/18/2012
VSH209340_REL,12/28/2012
VSH250239,12/31/2012
VSH209325,1/2/2013
VSH209219,1/2/2013
VSH209331,1/2/2013
VSH109403,1/2/2013
VSH209332,1/2/2013
VSH209280_OLD,1/3/2013
VSH209344_OLD,1/3/2013
VSH209242,1/6/2013
VSH209360,1/7/2013
VSH209354_OLD,1/7/2013
VSH209234_OLD,1/7/2013
VSH209330,1/7/2013
VSH209355_OLD,1/7/2013
VSH209357_OLD,1/7/2013
VSH209028_OLD,1/7/2013
VSH209351,1/7/2013
VSH209322,1/8/2013
VSH209114_OLD,1/10/2013
VSH209343,1/10/2013
VSH209341,1/11/2013
VSH209387,1/14/2013
VSH209190,1/14/2013
VSH209262_OLD,1/14/2013
VSH209296,1/14/2013
VSH209285_OLD,1/14/2013
VSH209379,1/15/2013
VSH209318,1/15/2013
VSH209369,1/16/2013
VSH209352,1/18/2013
VSH209385,1/18/2013
VSH209358_OLD,1/21/2013
VSH209389,1/21/2013
VSH209189,1/21/2013
VSH209182_OLD,1/21/2013
VSH209314,1/21/2013
VSH209288OLD,1/21/2013
VSH209366_OLD,1/22/2013
VSH209356_OLD,1/22/2013
VSH250403,1/23/2013
VSH209393,1/24/2013
VSH209102_OLD,1/25/2013
VSH209042_OLD,1/28/2013
VSH209370_TAP,1/28/2013
VSH209415,1/28/2013
VSH209347_OLD,1/29/2013
VSH209317,1/30/2013
VSH209408,1/31/2013
VSH109408,1/31/2013
VSH2091330,2/1/2013
VSH209377_OLD,2/4/2013
VSH209364_OLD,2/4/2013
VSH209381,2/5/2013
VSH209378,2/5/2013
VSH209255,2/5/2013
VSH209375,2/8/2013
VSH209376,2/8/2013
VSH209396,2/11/2013
VSH209435_OLD,2/11/2013
VSH209367,2/11/2013
VSH209368,2/11/2013
VSH209428,2/11/2013
VSH209363,2/12/2013
VSH209442,2/13/2013
VSH209313_OLD,2/13/2013
VSH209365,2/13/2013
VSH209239,2/13/2013
VSH209237,2/18/2013
VSH209159_OLD,2/19/2013
VSH209432_OLD,2/19/2013
VSH209326,2/19/2013
VSH209429,2/19/2013
VSH209457_OLD,2/19/2013
VSH312529_REL,2/19/2013
VSH209438_OLD,2/20/2013
VSH209374_OLD,2/20/2013
VSH209246_OLD,2/20/2013
VSH209307_OLD,2/21/2013
VSH209430,2/22/2013
VSH209405_OLD,2/22/2013
VSH209409_OLD,2/25/2013
VSH209437,2/25/2013
VSH209443,2/25/2013
VSH209312,2/25/2013
VSH209453,2/25/2013
VSHHQMM01,2/25/2013
VSH209434_OLD,2/26/2013
VSH209372,2/26/2013
VSH209436_OLD,2/26/2013
VSH209398OLD,2/26/2013
VSH209422,2/27/2013
VSH209427-OLD,2/27/2013
VSH209371_OLD,2/28/2013
VSH209250_REL,2/28/2013
VSH209416,3/4/2013
VSH209481,3/4/2013
VSH209433_OLD,3/4/2013
VSH209320_OLD,3/4/2013
VSH109404,3/4/2013
VSH209228,3/4/2013
VSH209192,3/4/2013
VSH209373OLD,3/4/2013
VSH209083,3/4/2013
VSH209431_,3/5/2013
VSH209333,3/5/2013
VSH315090_OLD,3/7/2013
VSH209470_OLD,3/8/2013
VSH209482_REL,3/11/2013
VSH209451_OLD,3/11/2013
VSH209447,3/11/2013
VSH209440,3/11/2013
VSH666999,3/11/2013
VSH209467,3/12/2013
VSH209499,3/13/2013
VSH209483,3/13/2013
VSH209495,3/14/2013
VSH312234,3/14/2013
VSH209087,3/14/2013
VSH209119,3/14/2013
VSH313462,3/15/2013
